"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.48035034669423e-24,0.896410399739675,0.97,0.589,3.97872999113221e-20,"0","RHCG"
4.64959404066281e-24,1.27552623859408,0.768,0.344,7.45841380062721e-20,"0","SMIM24"
9.09842809658406e-24,0.919071871087468,0.933,0.563,1.45947885097305e-19,"0","CA2"
1.02579432778151e-23,1.06257888208001,0.89,0.434,1.64547668119433e-19,"0","ATP6V0D2"
1.60543829330273e-23,0.533263646093146,0.976,0.848,2.57528356628691e-19,"0","NDUFA1"
2.58862559335688e-23,0.692251847772991,0.976,0.713,4.15241431430378e-19,"0","NGFRAP1"
2.80128015452123e-23,0.631412789011817,0.951,0.789,4.49353349586751e-19,"0","UQCR10"
5.78082717059498e-23,1.23371245009996,0.768,0.346,9.2730248643514e-19,"0","PTN"
1.2141353294967e-22,0.740791932619012,0.927,0.674,1.94759448204566e-18,"0","NDUFS8"
1.44148782054862e-22,0.819117542985176,0.896,0.617,2.31229061294205e-18,"0","SDHD"
1.81290120683344e-22,0.624525034162639,0.982,0.791,2.90807482588152e-18,"0","CD59"
2.50261200669511e-22,0.505305676764191,0.951,0.842,4.01443991993962e-18,"0","NDUFB2"
3.68408520204592e-22,0.692549146897021,1,0.766,5.90964107260186e-18,"0","KRT7"
8.28434888957858e-22,0.690201574919274,1,0.778,1.3288924053773e-17,"0","CKB"
1.55971227292129e-21,0.866994364268898,0.933,0.535,2.50193445699304e-17,"0","HSD11B2"
2.34803256326838e-21,0.679640070183271,0.933,0.757,3.76647903473882e-17,"0","ATP5I"
4.14702638659259e-21,0.574133339866148,0.988,0.802,6.65224502673317e-17,"0","DHRS7"
4.29751043211841e-21,1.29009766399505,0.701,0.302,6.89363648416114e-17,"0","ECI1"
4.58083370687252e-21,1.21411616870921,0.72,0.293,7.34811534919421e-17,"0","TM7SF2"
2.83452121592394e-20,0.60161217972727,0.939,0.76,4.5468554824636e-16,"0","ATP6V0B"
2.9528160793349e-20,1.00987586707504,0.823,0.408,4.73661227286111e-16,"0","HEPACAM2"
4.01198052320935e-20,0.815095561759428,0.89,0.577,6.43561795728012e-16,"0","ETFB"
4.83680088823917e-20,0.605929545747978,0.927,0.747,7.75871230482445e-16,"0","ATP5J2"
6.02688830420166e-20,1.17249826621635,0.713,0.316,9.66773152876988e-16,"0","MAL"
1.05320970278035e-19,0.741838519352088,0.915,0.626,1.68945368422996e-15,"0","NDUFAF3"
1.26095375487641e-19,0.867014275877567,0.878,0.533,2.02269591819725e-15,"0","CYB5A"
1.30279658009205e-19,0.739529329619598,0.884,0.639,2.08981599412566e-15,"0","NDUFA3"
1.4868390372949e-19,1.11611074544213,0.732,0.319,2.38503849972474e-15,"0","DMRT2"
4.57123824743352e-19,0.786720753875844,0.921,0.597,7.33272327270811e-15,"0","ATP6V1D"
9.74180272398024e-19,0.826276802736149,0.902,0.564,1.56268257495367e-14,"0","KLK1"
1.07628735971077e-18,0.723056769402323,0.915,0.633,1.72647255371205e-14,"0","CBR1"
1.15861746344873e-18,0.546970208810031,0.945,0.777,1.85853827311811e-14,"0","NDUFS5"
1.4450150230165e-18,0.608901052272309,0.939,0.73,2.31794859842077e-14,"0","NDUFV2"
1.9250776183752e-18,0.552115797102958,0.976,0.808,3.08801700763566e-14,"0","BSG"
2.22985026570475e-18,0.767054328161647,0.909,0.614,3.57690281121699e-14,"0","COX17"
2.60537512813021e-18,1.05502136592865,0.75,0.341,4.17928224303368e-14,"0","CLDN8"
3.05844211523111e-17,0.551310892233824,0.951,0.781,4.90604699704222e-13,"0","ATP6AP2"
3.21384951357934e-17,0.753744886846915,0.927,0.574,5.15533600473263e-13,"0","ERP27"
4.19646024188809e-17,0.576496517291752,0.963,0.747,6.73154187401269e-13,"0","PRDX2"
5.9286229111761e-17,0.869336130569422,0.829,0.394,9.51010401181758e-13,"0","ATP6V1B1"
1.07513823334766e-16,0.826674956693986,0.878,0.471,1.72462924011299e-12,"0","SCIN"
1.23496524399566e-16,0.731372408899976,0.896,0.588,1.98100774789344e-12,"0","NDUFB6"
1.69371114766407e-16,0.706252185858929,0.878,0.619,2.71688205196793e-12,"0","NDUFC1"
1.9242035930889e-16,0.533041705505128,0.982,0.744,3.0866149836739e-12,"0","SEPP1"
2.24422399357498e-16,1.2783136557096,0.543,0.197,3.59995970809363e-12,"0","SMIM6"
3.02932570345933e-16,0.601248901550316,0.927,0.696,4.85934136091911e-12,"0","SH3BGRL"
3.89165815887791e-16,1.0394351198304,0.713,0.333,6.24260885265606e-12,"0","LIN7A"
6.48094079552888e-16,0.954014040644494,0.64,0.262,1.03960771301079e-11,"0","SLC26A7"
7.47001106031468e-16,1.08574113011084,0.659,0.285,1.19826447418508e-11,"0","FGF7"
9.2484179066501e-16,1.12968978963057,0.652,0.301,1.48353871640574e-11,"0","PXK"
1.07207728434514e-15,0.695074482471264,0.939,0.608,1.71971917181804e-11,"0","CD24"
1.24204559499362e-15,0.605319056306763,0.909,0.688,1.99236533892926e-11,"0","TMEM141"
1.39299300578548e-15,0.617086339548391,0.915,0.695,2.23450008058049e-11,"0","USMG5"
2.77011716151701e-15,0.735533643239776,0.927,0.513,4.44354493878944e-11,"0","TMEM213"
3.42779262452677e-15,0.518532167878563,0.945,0.75,5.49852214900339e-11,"0","NDUFA11"
4.24867038404896e-15,0.855847497049528,0.799,0.423,6.81529216305293e-11,"0","LINC01187"
1.9849782908661e-14,0.864425890571232,0.811,0.485,3.18410367637832e-10,"0","NUCB2"
2.41961086205171e-14,1.29459984730898,0.506,0.216,3.88129778381714e-10,"0","TTR"
2.56909435553777e-14,0.99769296455032,0.677,0.347,4.12108425571814e-10,"0","DCXR"
2.62376747654377e-14,0.665345065686202,0.878,0.597,4.20878540912386e-10,"0","LINC00969"
2.85151532262757e-14,0.585076659588665,0.909,0.684,4.57411572902689e-10,"0","NDUFB11"
2.93349656975671e-14,0.68018222503632,0.854,0.594,4.70562184754675e-10,"0","NDUFA8"
3.18108371121115e-14,0.609081754659265,0.963,0.705,5.10277638115381e-10,"0","ATP1B1"
3.7129201447187e-14,1.18626102697895,0.567,0.248,5.95589520414327e-10,"0","BDH2"
3.7464345549685e-14,0.827385707929096,0.787,0.467,6.00965566962498e-10,"0","HPRT1"
6.09446813913484e-14,0.922567628390548,0.72,0.364,9.7761363419862e-10,"0","DUSP15"
6.15177458946927e-14,0.8714872703155,0.774,0.429,9.86806161896766e-10,"0","EXOSC7"
6.44316307424421e-14,0.720342755795321,0.878,0.519,1.03354778873951e-09,"0","FXYD4"
